source,target,value,sweep_2,sweep_3,sweep_4,sweep_5
Parenting beliefs,Self-harm,1.5911333e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Wellbeing,1.7888962e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,1.764755e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.00014702129,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.5130666e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parenting beliefs,Peer relationship problems,1.8049754e-05,Harsh parenting,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,3.074573e-05,Harsh parenting,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Peer relationship problems,1.6041047e-05,Neighbourhood,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Hyperactivity/inattention,4.1511124e-05,School readiness,Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,2.9970679e-05,School readiness,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Emotional dysfunction,1.44788255e-05,Vocabulary,Cognition (patterns),Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Hyperactivity/inattention,4.220722e-05,Vocabulary,Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Cognition (vocabulary),2.0729161e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Cognition (vocabulary)
Parenting beliefs,Emotional dysfunction,1.5745452e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Emotional dysfunction
Parenting beliefs,Hyperactivity/inattention,4.159722e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,1.8229655e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Prosocial behaviour
Parenting beliefs,Smoking,1.6363527e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Cognition (vocabulary)
Parenting beliefs,Cognition (vocabulary),2.8746648e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Cognition (vocabulary)
Parenting beliefs,Truancy,1.7458478e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Cognition (vocabulary)
Parenting beliefs,Cognition (vocabulary),1.5617425e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Cognition (working memory)
Parenting beliefs,Emotional dysfunction,2.4926283e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Emotional dysfunction
Parenting beliefs,Hyperactivity/inattention,2.2597333e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,2.5872561e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Peer relationship problems
Parenting beliefs,Prosocial behaviour,1.6688662e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Prosocial behaviour
Parenting beliefs,Peer relationship problems,1.9364026e-05,Vocabulary,Cognition (vocabulary),Peer relationship problems,Peer relationship problems
Parenting beliefs,Emotional dysfunction,4.1428113e-05,Vocabulary,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Alcohol,2.5826215e-05,Vocabulary,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,8.276115e-05,Vocabulary,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Alcohol,1.4509457e-05,Vocabulary,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Peer relationship problems,6.0327584e-05,Vocabulary,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Emotional dysfunction,2.61647e-05,Independence),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Alcohol,2.1441017e-05,Independence),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,6.870861e-05,Independence),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,4.1489817e-05,Independence),Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,1.7569771e-05,Self-regulation),Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Smoking,2.6584406e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Alcohol,1.4563383e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Truancy,1.6184096e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,7.998497e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Peer relationship problems,1.8246521e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,1.5549993e-05,Self-regulation),Conduct problems,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Smoking,8.2443876e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,3.848394e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Illegal behaviour,3.8922604e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullies others,4.981241e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Truancy,5.72865e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Self-harm,5.2204836e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Negative feelings,1.677829e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00017103647,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,2.7956565e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,5.0379065e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,3.7459467e-05,Self-regulation),Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.7020613e-05,Self-regulation),Conduct problems,Conduct problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,3.158533e-05,Self-regulation),Conduct problems,Conduct problems,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,3.87697e-05,Self-regulation),Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.8304778e-05,Self-regulation),Conduct problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,2.4879428e-05,Self-regulation),Conduct problems,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Smoking,1.5352502e-05,Self-regulation),Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,3.1850002e-05,Self-regulation),Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Emotional dysfunction,2.2717983e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parenting beliefs,Smoking,1.6157921e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parenting beliefs,Conduct problems,3.3520908e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parenting beliefs,Smoking,3.5432276e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Alcohol,8.093032e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Cognition (vocabulary),1.763178e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Illegal behaviour,1.6938244e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Truancy,2.2780407e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Self-harm,2.8067472e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Wellbeing,3.1555996e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,3.1130145e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.00025934447,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.7047281e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,2.6690383e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parenting beliefs,Prosocial behaviour,1.5049676e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Prosocial behaviour
Parenting beliefs,Peer relationship problems,2.216949e-05,Self-regulation),Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Smoking,0.000103636885,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Alcohol,5.6774017e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Cognition (vocabulary),1.5149075e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Illegal behaviour,2.570138e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Bullies others,4.4480286e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Truancy,6.309222e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Self-harm,2.0843758e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Wellbeing,1.8861216e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Self-esteem,2.8904718e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Negative feelings,1.8947707e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,0.0003118141,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Hyperactivity/inattention,2.07418e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Peer relationship problems,7.1132396e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Peer relationship problems,2.2938122e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction,Peer relationship problems
Parenting beliefs,Conduct problems,1.6468672e-05,Emotional dysfunction,Emotional dysfunction,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,1.5991078e-05,Emotional dysfunction,Emotional dysfunction,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,2.8719698e-05,Emotional dysfunction,Emotional dysfunction,Peer relationship problems,Peer relationship problems
Parenting beliefs,Alcohol,1.9973018e-05,Emotional dysfunction,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,6.400434e-05,Emotional dysfunction,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,5.4292246e-05,Emotional dysfunction,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Smoking,1.9842098e-05,Conduct problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,5.969927e-05,Conduct problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,3.9095627e-05,Conduct problems,Conduct problems,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Self-harm,1.4752591e-05,Conduct problems,Conduct problems,Conduct problems,Plays sports
Parenting beliefs,Cognition (vocabulary),1.5235777e-05,Conduct problems,Conduct problems,Conduct problems,Cognition (vocabulary)
Parenting beliefs,Smoking,1.5308317e-05,Conduct problems,Conduct problems,Conduct problems,Feelings (anger)
Parenting beliefs,Bullies others,1.7180537e-05,Conduct problems,Conduct problems,Conduct problems,Feelings (anger)
Parenting beliefs,Emotional dysfunction,2.5186535e-05,Conduct problems,Conduct problems,Conduct problems,Emotional dysfunction
Parenting beliefs,Smoking,0.0002072795,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,9.675591e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Cognition (vocabulary),3.299906e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Illegal behaviour,9.785879e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullies others,0.00012523783,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Truancy,0.0001440291,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Self-harm,0.00013125283,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Wellbeing,2.3808754e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Negative feelings,4.218379e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Emotional dysfunction,3.4444198e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00043001803,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,7.028809e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Peer relationship problems,1.6554564e-05,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,0.0001266625,Conduct problems,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,2.9389612e-05,Conduct problems,Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,9.41802e-05,Conduct problems,Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,4.2793046e-05,Conduct problems,Conduct problems,Conduct problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,7.941149e-05,Conduct problems,Conduct problems,Conduct problems,Prosocial behaviour
Parenting beliefs,Alcohol,3.0417581e-05,Conduct problems,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,9.747437e-05,Conduct problems,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,4.602168e-05,Conduct problems,Conduct problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,6.25516e-05,Conduct problems,Conduct problems,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Conduct problems,1.5077752e-05,Conduct problems,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,1.5868758e-05,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parenting beliefs,Smoking,1.6773598e-05,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Alcohol,3.831231e-05,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Wellbeing,1.49385705e-05,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,1.4736973e-05,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.00012277334,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.5554477e-05,Conduct problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,5.6598714e-05,Conduct problems,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,1.7300938e-05,Hyperactivity/inattention,Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Smoking,6.318319e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,2.9493256e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Illegal behaviour,2.9829438e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullies others,3.817515e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Truancy,4.3903125e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Self-harm,4.0008654e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00013107863,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,2.1425303e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,3.860942e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,2.8708124e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,2.4206309e-05,Hyperactivity/inattention,Conduct problems,Conduct problems,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,2.9712255e-05,Hyperactivity/inattention,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,1.9067053e-05,Hyperactivity/inattention,Conduct problems,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Conduct problems,1.924356e-05,Hyperactivity/inattention,Hyperactivity/inattention,Digital access,Conduct problems
Parenting beliefs,Peer relationship problems,1.5910908e-05,Hyperactivity/inattention,Hyperactivity/inattention,Bullied by others,Peer relationship problems
Parenting beliefs,Hyperactivity/inattention,1.8655117e-05,Hyperactivity/inattention,Hyperactivity/inattention,Cognition (reading),Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,1.9665686e-05,Hyperactivity/inattention,Hyperactivity/inattention,School liking,Hyperactivity/inattention
Parenting beliefs,Smoking,1.5008031e-05,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,4.5154928e-05,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Smoking,6.450763e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,3.011149e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Illegal behaviour,3.045472e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Bullies others,3.8975373e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Truancy,4.4823417e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Self-harm,4.084731e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
