source,target,value,sweep_2,sweep_3,sweep_4
Parenting beliefs,School aptitude (teacher-rating),0.00010179784,Parenting (general),Cognition (vocabulary),Cognition (reading)
Parenting beliefs,STEM (teacher-rating),7.751236e-05,Parenting (general),Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),8.8923705e-05,Parenting (general),Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),7.968642e-05,Parenting (general),Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,Plays sports,8.687962e-05,Parenting (general),Conduct problems,Conduct problems
Parenting beliefs,Bullies others (teacher-rating),0.00017066236,Parenting (general),Conduct problems,Conduct problems
Parenting beliefs,Feelings (anger),7.8294834e-05,Parenting (general),Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00042564393,Parenting (general),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,9.103488e-05,Parenting (general),Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,9.859448e-05,Parenting (general),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,9.149504e-05,Parenting (general),Conduct problems,Hyperactivity/inattention
Parenting beliefs,School aptitude (teacher-rating),7.853395e-05,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (sadness),8.012493e-05,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (fear),8.836958e-05,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.0005079668,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.00030920428,Parenting (general),Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,0.0003531592,Parenting (general),Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Emotional dysfunction,0.00022886941,Parenting (rules),Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Conduct problems,7.889096e-05,Parenting (rules),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.0002698999,Parenting (rules),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,0.000117665004,Parenting (rules),Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Bullies others (teacher-rating),8.281965e-05,Parenting (enforcement),Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00020655803,Parenting (enforcement),Conduct problems,Conduct problems
Parenting beliefs,English (teacher-rating),8.682424e-05,Parenting (enforcement),Hyperactivity/inattention,Cognition (reading)
Parenting beliefs,STEM (teacher-rating),9.2349976e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,School aptitude (teacher-rating),9.634347e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Bullied by others (teacher-rating),8.351324e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (worrying),9.04111e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (sadness),9.8295255e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (fear),0.00010840958,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.0006231609,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.00025295652,Parenting (enforcement),Peer relationship problems,Peer relationship problems
Parenting beliefs,English (teacher-rating),9.260016e-05,Harsh parenting,Parenting (activities),Cognition (reading)
Parenting beliefs,Emotional dysfunction,9.778779e-05,Harsh parenting,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Bullies others (teacher-rating),0.00011376919,Harsh parenting,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00028374835,Harsh parenting,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00035785747,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,0.00013429647,Harsh parenting,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,PE (teacher-rating),0.00014244704,School readiness,Cognition (patterns),PE (teacher-rating)
Parenting beliefs,STEM (teacher-rating),0.00013365806,School readiness,Cognition (patterns),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.00019617779,School readiness,Cognition (patterns),Cognition (reading)
Parenting beliefs,Art/music (teacher-rating),7.63942e-05,School readiness,Cognition (patterns),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.00013178283,School readiness,Cognition (patterns),Cognition (reading)
Parenting beliefs,Cognition (working memory),0.00025235777,School readiness,Cognition (patterns),Cognition (patterns)
Parenting beliefs,STEM (teacher-rating),0.00012796946,School readiness,Cognition (patterns),Cognition (patterns)
Parenting beliefs,Art/music (teacher-rating),0.000119081546,School readiness,Cognition (patterns),Cognition (patterns)
Parenting beliefs,Cognition (vocabulary),8.138849e-05,School readiness,Cognition (patterns),Cognition (numbers)
Parenting beliefs,Cognition (working memory),0.00011891194,School readiness,Cognition (patterns),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),0.00015089911,School readiness,Cognition (patterns),Cognition (numbers)
Parenting beliefs,English (teacher-rating),9.150414e-05,School readiness,Cognition (patterns),Cognition (numbers)
Parenting beliefs,School aptitude (teacher-rating),8.8569315e-05,School readiness,Cognition (patterns),Cognition (numbers)
Parenting beliefs,Cognition (working memory),7.978057e-05,School readiness,Cognition (patterns),STEM (teacher-rating)
Parenting beliefs,STEM (teacher-rating),0.0001536511,School readiness,Cognition (patterns),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),0.00010200973,School readiness,Cognition (patterns),English (teacher-rating)
Parenting beliefs,Hyperactivity/inattention,0.00013256227,School readiness,Cognition (patterns),Hyperactivity/inattention
Parenting beliefs,STEM (teacher-rating),0.000113929826,School readiness,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.0001672215,School readiness,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.00011233138,School readiness,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,STEM (teacher-rating),8.553296e-05,School readiness,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),9.812509e-05,School readiness,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),8.793198e-05,School readiness,Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,Hyperactivity/inattention,0.00012427337,School readiness,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,7.9715675e-05,School readiness,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,PE (teacher-rating),0.00013216001,Vocabulary,Cognition (patterns),PE (teacher-rating)
Parenting beliefs,STEM (teacher-rating),0.00012400573,Vocabulary,Cognition (patterns),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.0001820105,Vocabulary,Cognition (patterns),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.00012226592,Vocabulary,Cognition (patterns),Cognition (reading)
Parenting beliefs,Cognition (working memory),0.00023413336,Vocabulary,Cognition (patterns),Cognition (patterns)
Parenting beliefs,STEM (teacher-rating),0.00011872794,Vocabulary,Cognition (patterns),Cognition (patterns)
Parenting beliefs,Art/music (teacher-rating),0.00011048188,Vocabulary,Cognition (patterns),Cognition (patterns)
Parenting beliefs,Cognition (working memory),0.00011032453,Vocabulary,Cognition (patterns),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),0.00014000169,Vocabulary,Cognition (patterns),Cognition (numbers)
Parenting beliefs,English (teacher-rating),8.489602e-05,Vocabulary,Cognition (patterns),Cognition (numbers)
Parenting beliefs,School aptitude (teacher-rating),8.2173145e-05,Vocabulary,Cognition (patterns),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),0.00014255494,Vocabulary,Cognition (patterns),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),9.464295e-05,Vocabulary,Cognition (patterns),English (teacher-rating)
Parenting beliefs,Hyperactivity/inattention,0.00012298909,Vocabulary,Cognition (patterns),Hyperactivity/inattention
Parenting beliefs,PE (teacher-rating),0.00014443869,Vocabulary,Cognition (vocabulary),PE (teacher-rating)
Parenting beliefs,PE (teacher-rating),0.00012011135,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,Cognition (vocabulary),0.00013888291,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,STEM (teacher-rating),0.00041508663,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.000609247,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,Art/music (teacher-rating),0.00023724877,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.00040926292,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,Feelings (laughter),0.00016574378,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,Feelings (sadness),8.444833e-05,Vocabulary,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,Cognition (working memory),8.293577e-05,Vocabulary,Cognition (vocabulary),Cognition (patterns)
Parenting beliefs,Plays sports,8.69844e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,PE (teacher-rating),0.0001432288,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Cognition (vocabulary),0.0001680781,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Cognition (working memory),0.00024556904,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),0.00031162682,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,English (teacher-rating),0.00018896826,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Art/music (teacher-rating),0.00011019406,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,School aptitude (teacher-rating),0.00018290746,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Feelings (happiness),9.720623e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Hyperactivity/inattention,7.914702e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Peer relationship problems,8.8575194e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers)
Parenting beliefs,Cognition (vocabulary),0.00014183183,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,Cognition (working memory),0.00018562772,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,STEM (teacher-rating),0.00035750438,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),9.550596e-05,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,School aptitude (teacher-rating),9.391883e-05,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,Feelings (laughter),0.00014646925,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,Emotional dysfunction,8.6528176e-05,Vocabulary,Cognition (vocabulary),STEM (teacher-rating)
Parenting beliefs,STEM (teacher-rating),0.000105933366,Vocabulary,Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,English (teacher-rating),0.00032036725,Vocabulary,Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,Art/music (teacher-rating),0.00018182049,Vocabulary,Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,School aptitude (teacher-rating),0.00021389147,Vocabulary,Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,Peer relationship problems,8.339084e-05,Vocabulary,Cognition (vocabulary),English (teacher-rating)
Parenting beliefs,Art/music (teacher-rating),0.00011054287,Vocabulary,Cognition (vocabulary),Art/music (teacher-rating)
Parenting beliefs,Emotional dysfunction,0.0002088118,Vocabulary,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Conduct problems,9.9213554e-05,Vocabulary,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00032776323,Vocabulary,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.0002745409,Vocabulary,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,0.00010774115,Vocabulary,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Emotional dysfunction,0.00011877281,Independence),Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Conduct problems,8.3242456e-05,Independence),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00024267005,Independence),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,0.00014378472,Independence),Prosocial behaviour,Prosocial behaviour
Parenting beliefs,PE (teacher-rating),9.796893e-05,Self-regulation),Cognition (patterns),PE (teacher-rating)
Parenting beliefs,STEM (teacher-rating),9.1924245e-05,Self-regulation),Cognition (patterns),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.00013492261,Self-regulation),Cognition (patterns),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),9.063454e-05,Self-regulation),Cognition (patterns),Cognition (reading)
Parenting beliefs,Cognition (working memory),0.00017356078,Self-regulation),Cognition (patterns),Cognition (patterns)
Parenting beliefs,STEM (teacher-rating),8.801187e-05,Self-regulation),Cognition (patterns),Cognition (patterns)
Parenting beliefs,Art/music (teacher-rating),8.189915e-05,Self-regulation),Cognition (patterns),Cognition (patterns)
Parenting beliefs,Cognition (working memory),8.17825e-05,Self-regulation),Cognition (patterns),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),0.00010378189,Self-regulation),Cognition (patterns),Cognition (numbers)
Parenting beliefs,STEM (teacher-rating),0.0001056746,Self-regulation),Cognition (patterns),STEM (teacher-rating)
Parenting beliefs,Hyperactivity/inattention,9.117061e-05,Self-regulation),Cognition (patterns),Hyperactivity/inattention
Parenting beliefs,Bullies others (teacher-rating),9.31464e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,0.00038105412,Self-regulation),Emotional dysfunction,Emotional dysfunction
Parenting beliefs,English (teacher-rating),0.00010478724,Self-regulation),Conduct problems,Cognition (reading)
Parenting beliefs,Emotional dysfunction,0.000108686094,Self-regulation),Conduct problems,Emotional dysfunction
Parenting beliefs,Plays sports,0.00014934193,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,PE (teacher-rating),0.000104148945,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Bullies others (teacher-rating),0.0002933605,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Bullied by others (teacher-rating),0.00012982087,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Feelings (anger),0.00013458509,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.0007316617,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00015648463,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Peer relationship problems,0.00010820009,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,0.00016947923,Self-regulation),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00015727563,Self-regulation),Conduct problems,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.000101266836,Self-regulation),Conduct problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,0.00012161448,Self-regulation),Conduct problems,Prosocial behaviour
Parenting beliefs,STEM (teacher-rating),8.506323e-05,Self-regulation),Hyperactivity/inattention,Cognition (reading)
Parenting beliefs,English (teacher-rating),0.00012485229,Self-regulation),Hyperactivity/inattention,Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),8.386978e-05,Self-regulation),Hyperactivity/inattention,Cognition (reading)
Parenting beliefs,Conduct problems,8.809662e-05,Self-regulation),Hyperactivity/inattention,Conduct problems
Parenting beliefs,Plays sports,0.00010266179,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,PE (teacher-rating),9.8073804e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,STEM (teacher-rating),0.00013279823,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,English (teacher-rating),0.0001017865,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,School aptitude (teacher-rating),0.00013854084,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Bullies others (teacher-rating),8.76542e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Bullied by others (teacher-rating),0.00012009111,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (happiness),7.9649406e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (anger),8.570401e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (worrying),0.00013001016,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (sadness),0.00014134748,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Feelings (fear),0.00015589177,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Emotional dysfunction,7.673414e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,7.651217e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.00089609844,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,9.944562e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.00022749841,Self-regulation),Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,0.00021019706,Self-regulation),Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Plays sports,0.00013538775,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,PE (teacher-rating),8.388602e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Cognition (vocabulary),8.431497e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Bullies others (teacher-rating),0.00021334889,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Bullied by others (teacher-rating),0.00012865503,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,0.0008727924,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Conduct problems,8.898896e-05,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Peer relationship problems,8.814789e-05,Emotional dysfunction,Emotional dysfunction,Peer relationship problems
Parenting beliefs,Hyperactivity/inattention,0.00017421402,Emotional dysfunction,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.00018353362,Emotional dysfunction,Peer relationship problems,Peer relationship problems
Parenting beliefs,Emotional dysfunction,0.00028986024,Conduct problems,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Art/music (teacher-rating),8.5519816e-05,Conduct problems,Conduct problems,Digital access
Parenting beliefs,STEM (teacher-rating),0.00018281156,Conduct problems,Conduct problems,Cognition (reading)
Parenting beliefs,English (teacher-rating),0.0002683233,Conduct problems,Conduct problems,Cognition (reading)
Parenting beliefs,Art/music (teacher-rating),0.000104488594,Conduct problems,Conduct problems,Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.0001802467,Conduct problems,Conduct problems,Cognition (reading)
Parenting beliefs,STEM (teacher-rating),9.023694e-05,Conduct problems,Conduct problems,STEM (teacher-rating)
Parenting beliefs,Emotional dysfunction,0.0002783069,Conduct problems,Conduct problems,Emotional dysfunction
Parenting beliefs,Plays sports,0.0003824122,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,PE (teacher-rating),0.00026668885,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,STEM (teacher-rating),0.0001590419,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,School aptitude (teacher-rating),0.00013175291,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullies others (teacher-rating),0.0007511931,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullied by others (teacher-rating),0.0003324256,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Feelings (anger),0.00034462512,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Emotional dysfunction,0.0001940951,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.0018735284,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00040070215,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Peer relationship problems,0.00027706238,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,0.0004339767,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00040272757,Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.00025930876,Conduct problems,Conduct problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,0.00031141195,Conduct problems,Conduct problems,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,0.00032605085,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,0.00028552642,Conduct problems,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,English (teacher-rating),7.944246e-05,Hyperactivity/inattention,Cognition (vocabulary),Cognition (reading)
Parenting beliefs,Plays sports,8.5322965e-05,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Bullies others (teacher-rating),0.00016760455,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Feelings (anger),7.6892e-05,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00041801753,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,8.940378e-05,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,9.682793e-05,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,8.98557e-05,Hyperactivity/inattention,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Art/music (teacher-rating),0.00010317701,Hyperactivity/inattention,Hyperactivity/inattention,Digital access
Parenting beliefs,Plays sports,0.00010318832,Hyperactivity/inattention,Hyperactivity/inattention,PE (teacher-rating)
Parenting beliefs,PE (teacher-rating),0.00021103142,Hyperactivity/inattention,Hyperactivity/inattention,PE (teacher-rating)
Parenting beliefs,PE (teacher-rating),9.607784e-05,Hyperactivity/inattention,Hyperactivity/inattention,Cognition (reading)
